# Job started on: Thu Oct  8 20:24:11 CEST 2020 ................
# FONLL heavy quark hadroproduction cross section, calculated on Thu Oct  8 20:26:45 CEST 2020
# FONLL version and perturbative order: ## FONLL v1.3.2 fonll [ds/dpt^2dy (pb/GeV^2)]
# quark = bottom
# final state = meson. NP params (cm,lm,hm) = 24.2, 26.7, 22.2
# BR(q->meson) = 1
# ebeam1 = 6500, ebeam2 = 6500
# PDF set = CTEQ6.6
# ptmin = 0.5
# ptmax = 99.5
# etamin = -9.95
# etamax = 9.95
# Uncertainties from scales, masses combined quadratically
# cross section is ds/deta (pb)
# eta       central      min       max       min_sc     max_sc     min_mass   max_mass
   2.9500 4.6910e+07 2.8525e+07 6.7928e+07 2.9570e+07 6.6620e+07 4.0800e+07 5.4210e+07
   3.0500 4.5900e+07 2.7932e+07 6.6511e+07 2.8960e+07 6.5220e+07 3.9910e+07 5.3080e+07
   3.1500 4.4830e+07 2.7298e+07 6.5008e+07 2.8310e+07 6.3740e+07 3.8960e+07 5.1870e+07
   3.2500 4.3710e+07 2.6636e+07 6.3420e+07 2.7630e+07 6.2180e+07 3.7970e+07 5.0590e+07
   3.3500 4.2540e+07 2.5940e+07 6.1763e+07 2.6920e+07 6.0550e+07 3.6920e+07 4.9260e+07
   3.4500 4.1320e+07 2.5219e+07 6.0037e+07 2.6180e+07 5.8850e+07 3.5840e+07 4.7880e+07
   3.5500 4.0050e+07 2.4473e+07 5.8252e+07 2.5410e+07 5.7090e+07 3.4730e+07 4.6450e+07
   3.6500 3.8760e+07 2.3701e+07 5.6403e+07 2.4620e+07 5.5270e+07 3.3580e+07 4.4980e+07
   3.7500 3.7430e+07 2.2901e+07 5.4513e+07 2.3800e+07 5.3410e+07 3.2400e+07 4.3470e+07
   3.8500 3.6070e+07 2.2094e+07 5.2585e+07 2.2970e+07 5.1510e+07 3.1200e+07 4.1930e+07
   3.9500 3.4690e+07 2.1267e+07 5.0623e+07 2.2120e+07 4.9580e+07 2.9980e+07 4.0360e+07
   4.0500 3.3290e+07 2.0432e+07 4.8641e+07 2.1260e+07 4.7630e+07 2.8750e+07 3.8770e+07
   4.1500 3.1890e+07 1.9575e+07 4.6628e+07 2.0380e+07 4.5650e+07 2.7510e+07 3.7170e+07
   4.2500 3.0470e+07 1.8720e+07 4.4595e+07 1.9500e+07 4.3650e+07 2.6260e+07 3.5550e+07
   4.3500 2.9050e+07 1.7865e+07 4.2562e+07 1.8620e+07 4.1650e+07 2.5010e+07 3.3930e+07
   4.4500 2.7630e+07 1.7000e+07 4.0529e+07 1.7730e+07 3.9650e+07 2.3760e+07 3.2310e+07
   4.5500 2.6210e+07 1.6140e+07 3.8496e+07 1.6840e+07 3.7650e+07 2.2520e+07 3.0690e+07
   4.6500 2.4800e+07 1.5279e+07 3.6469e+07 1.5950e+07 3.5660e+07 2.1290e+07 2.9070e+07
   4.7500 2.3410e+07 1.4422e+07 3.4453e+07 1.5070e+07 3.3680e+07 2.0060e+07 2.7470e+07
   4.8500 2.2030e+07 1.3583e+07 3.2470e+07 1.4200e+07 3.1730e+07 1.8860e+07 2.5890e+07
   4.9500 2.0670e+07 1.2754e+07 3.0516e+07 1.3340e+07 2.9810e+07 1.7680e+07 2.4330e+07
   5.0500 1.9350e+07 1.1938e+07 2.8598e+07 1.2500e+07 2.7930e+07 1.6520e+07 2.2800e+07
   5.1500 1.8050e+07 1.1138e+07 2.6713e+07 1.1670e+07 2.6080e+07 1.5390e+07 2.1300e+07
   5.2500 1.6780e+07 1.0358e+07 2.4876e+07 1.0860e+07 2.4280e+07 1.4290e+07 1.9830e+07
   5.3500 1.5560e+07 9.5960e+06 2.3090e+07 1.0070e+07 2.2530e+07 1.3230e+07 1.8410e+07
   5.4500 1.4370e+07 8.8652e+06 2.1356e+07 9.3110e+06 2.0830e+07 1.2200e+07 1.7030e+07
   5.5500 1.3220e+07 8.1606e+06 1.9694e+07 8.5770e+06 1.9200e+07 1.1210e+07 1.5700e+07
   5.6500 1.2130e+07 7.4835e+06 1.8088e+07 7.8720e+06 1.7630e+07 1.0270e+07 1.4420e+07
   5.7500 1.1080e+07 6.8363e+06 1.6557e+07 7.1970e+06 1.6130e+07 9.3680e+06 1.3200e+07
   5.8500 1.0090e+07 6.2192e+06 1.5095e+07 6.5550e+06 1.4700e+07 8.5130e+06 1.2040e+07
   5.9500 9.1470e+06 5.6362e+06 1.3703e+07 5.9460e+06 1.3340e+07 7.7050e+06 1.0930e+07
   6.0500 8.2580e+06 5.0869e+06 1.2394e+07 5.3720e+06 1.2060e+07 6.9440e+06 9.8870e+06
   6.1500 7.4250e+06 4.5734e+06 1.1166e+07 4.8340e+06 1.0860e+07 6.2340e+06 8.9060e+06
